Date,Twitter Handle,Twitter Username,Last Price,User Address,Profile Picture URL,Created On
"
August 23, 2023"

,TheArenaApp,The Arena,11.8336 ETH,0x2afd667e0b6614bc93bba9e0315605c633d6e940,https://static.starsarena.com/uploads/cfb71b68-878a-1faa-268a-8fd3b54b98001712675873166.png,2023-08-23 20:08:02

"
August 25, 2023"

,asimfiles,usman asim,0.3136 ETH,0xec9ae0b0829c68a0bcfc3c7bd31d814399e9b2b1,https://static.starsarena.com/uploads/b0b27925-0cfa-1cc2-1d75-c9ccc9fec1b81713286381997.png,2023-08-25 05:18:32

"
August 30, 2023"

,dualitypup,"0xduality🔺(🙏,🙏)",0.4624 ETH,0xa63dc40da34a6f157a38011ce6b733099df29d3f,https://static.starsarena.com/uploads/8a92c3d1-42f2-3fa1-86fa-596f0713116c1712714154294.png,2023-08-30 01:37:46

"
September 05, 2023"

,nadim_xyz,Nadim Chamoun,0.8460 ETH,0xaa632bfbec7e8229ec96bde80bdd9f3486efe46f,https://static.starsarena.com/uploads/a2c7f103-bac6-c1cb-c9fc-8b868fa4f2541714044340253.png,2023-09-05 14:38:29

"
September 20, 2023"

,hannesxda,thexxx,0.5184 ETH,0x106761c123804ba45a42061cc13217bfac0d2acb,https://pbs.twimg.com/profile_images/1746631256576602112/FPB1vO_e_normal.jpg,2023-09-20 15:03:47

"
September 21, 2023"

,Kripto0sman,KriptOsman,7.6176 ETH,0x5f98c93177efaf1de7558e61fb22345975d838c4,https://static.starsarena.com/uploads/02448e40-f0a3-37ee-b75b-bc3ef9914d9b1712118289009.png,2023-09-21 13:27:36
,girarmer,Girarmer.fuel,0.1600 ETH,0x3857c138077fc11c9c5ae11a4406cbf0f5ee486d,https://static.starsarena.com/uploads/124c53b4-6ed0-8265-43f7-4e724031a7021712118288948.png,2023-09-21 13:30:27
,girarmer,Girarmer.fuel,0.1600 ETH,0x3857c138077fc11c9c5ae11a4406cbf0f5ee486d,https://static.starsarena.com/uploads/124c53b4-6ed0-8265-43f7-4e724031a7021712118288948.png,2023-09-21 13:30:27
,asyadolunaydan,Asya 🔺 Merlin🔮📷.fuel,0.1024 ETH,0x32409fcef8ceae48f96938fe4ca76bc2d30a0a0a,https://static.starsarena.com/uploads/45b5c901-abb1-5081-a8b4-87560c2b73731712118288819.png,2023-09-21 13:36:04
,asyadolunaydan,Asya 🔺 Merlin🔮📷.fuel,0.1024 ETH,0x32409fcef8ceae48f96938fe4ca76bc2d30a0a0a,https://static.starsarena.com/uploads/45b5c901-abb1-5081-a8b4-87560c2b73731712118288819.png,2023-09-21 13:36:04
,EfeDoReMi,Efe CrayzBoy.fuel,0.0784 ETH,0x3e4f25c458d3dd82dcb920663fb9a0080cf948d5,https://static.starsarena.com/uploads/94e0c8b4-57d5-fce5-747c-5dabc50de58d1712118288861.png,2023-09-21 13:36:13
,gaziakdogandan,Gazi Akdoğan 🔺 Merlin🔮📷.fuel,0.1024 ETH,0x4a2387ee162eb99373e3365c3c60683943fc2e33,https://static.starsarena.com/uploads/d5ed0cf0-338e-6777-99d7-0860ea74db841712118288514.png,2023-09-21 13:36:20
,hanifegundogan2,Hanife Gündoğan - Merlin🔮📷.fuel,0.1296 ETH,0x75493e1fb555f0025c99e5b5736ecfc88c1b03fe,https://static.starsarena.com/uploads/d9b97a8e-11f0-a7f1-c14c-e42b75a289a71712118288522.png,2023-09-21 13:36:26
,SuatSoydan69,Suat Soydan.fuel,0.1296 ETH,0x7f561943a02c36731bd685a0030e8b3fcf0a5e26,https://static.starsarena.com/uploads/3f8d9711-cb46-2ec1-11a7-6135adf9098b1712118288971.png,2023-09-21 13:36:34
